 map_id |    maptype     | book | page | npages |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              trs_paths                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |  recdate   |         surveyors          |                          client                          |                                                                        description                                                                        | note 
  14898 | Unrecorded Map |  100 |  116 |      1 | {10N.1E.31,10N.1E.32,10N.1E.33,10N.1E.34,10N.1E.35,10N.1E.36,10N.1W.36,10N.2E.31,8N.1E.1,8N.1E.2,8N.1E.3,8N.1E.4,8N.1E.5,8N.1E.6,8N.1W.1,8N.2E.6,9N.1E.1,9N.1E.10,9N.1E.11,9N.1E.12,9N.1E.13,9N.1E.14,9N.1E.15,9N.1E.16,9N.1E.17,9N.1E.18,9N.1E.19,9N.1E.2,9N.1E.20,9N.1E.21,9N.1E.22,9N.1E.23,9N.1E.24,9N.1E.25,9N.1E.26,9N.1E.27,9N.1E.28,9N.1E.29,9N.1E.3,9N.1E.30,9N.1E.31,9N.1E.32,9N.1E.33,9N.1E.34,9N.1E.35,9N.1E.36,9N.1E.4,9N.1E.5,9N.1E.6,9N.1E.7,9N.1E.8,9N.1E.9,9N.1W.1,9N.1W.13,9N.1W.24,9N.1W.25,9N.1W.36,9N.2E.18,9N.2E.19,9N.2E.30,9N.2E.31,9N.2E.6,9N.2E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1876-01-15 | S. FOREMAN                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S33,S34,S35,S36 9N,1E   42 SHEETS          | 
  14903 | Unrecorded Map |  100 |  121 |      1 | {10N.1E.36,10N.2E.31,10N.2E.32,10N.2E.33,10N.2E.34,10N.2E.35,10N.2E.36,10N.3E.31,8N.1E.1,8N.2E.1,8N.2E.2,8N.2E.3,8N.2E.4,8N.2E.5,8N.2E.6,8N.3E.6,9N.1E.1,9N.1E.12,9N.1E.13,9N.1E.24,9N.1E.25,9N.1E.36,9N.2E.1,9N.2E.10,9N.2E.11,9N.2E.12,9N.2E.13,9N.2E.14,9N.2E.15,9N.2E.16,9N.2E.17,9N.2E.18,9N.2E.19,9N.2E.2,9N.2E.20,9N.2E.21,9N.2E.22,9N.2E.23,9N.2E.24,9N.2E.25,9N.2E.26,9N.2E.27,9N.2E.28,9N.2E.29,9N.2E.3,9N.2E.30,9N.2E.31,9N.2E.32,9N.2E.33,9N.2E.34,9N.2E.35,9N.2E.36,9N.2E.4,9N.2E.5,9N.2E.6,9N.2E.7,9N.2E.8,9N.2E.9,9N.3E.18,9N.3E.19,9N.3E.30,9N.3E.31,9N.3E.6,9N.3E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1876-01-15 | S. FOREMAN                 | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 9N,2E              | 
  14910 | Unrecorded Map |  100 |  128 |      1 | {10N.2E.36,10N.3E.31,10N.3E.32,10N.3E.33,10N.3E.34,10N.3E.35,10N.3E.36,10N.4E.31,8N.2E.1,8N.3E.1,8N.3E.2,8N.3E.3,8N.3E.4,8N.3E.5,8N.3E.6,8N.4E.6,9N.2E.1,9N.2E.12,9N.2E.13,9N.2E.24,9N.2E.25,9N.2E.36,9N.3E.1,9N.3E.10,9N.3E.11,9N.3E.12,9N.3E.13,9N.3E.14,9N.3E.15,9N.3E.16,9N.3E.17,9N.3E.18,9N.3E.19,9N.3E.2,9N.3E.20,9N.3E.21,9N.3E.22,9N.3E.23,9N.3E.24,9N.3E.25,9N.3E.26,9N.3E.27,9N.3E.28,9N.3E.29,9N.3E.3,9N.3E.30,9N.3E.31,9N.3E.32,9N.3E.33,9N.3E.34,9N.3E.35,9N.3E.36,9N.3E.4,9N.3E.5,9N.3E.6,9N.3E.7,9N.3E.8,9N.3E.9,9N.4E.18,9N.4E.19,9N.4E.30,9N.4E.31,9N.4E.6,9N.4E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1876-01-15 | S. FOREMAN                 | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 9N,3E              | 
  14914 | Unrecorded Map |  100 |  132 |      1 | {9N.3E.19,9N.3E.20,9N.3E.21,9N.3E.28,9N.3E.29,9N.3E.30}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1994-04-08 | J. CARROLL                 | BLM PLAT & FIELD NOTES                                   | E/2 S.LINE S19 & S.LINE S20   8 SHEETS                                                                                                                    | 
  14916 | Unrecorded Map |  100 |  134 |      1 | {10N.3E.33,10N.3E.34,10N.3E.35,10N.3E.36,10N.4E.31,9N.3E.1,9N.3E.10,9N.3E.11,9N.3E.12,9N.3E.13,9N.3E.14,9N.3E.2,9N.3E.3,9N.3E.4,9N.4E.6,9N.4E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 2005-09-15 | D. HALLER                  | BLM PLAT & FIELD NOTES                                   | S1 & S11 9N,3E   16 SHEETS                                                                                                                                | 
  14918 | Unrecorded Map |  100 |  136 |      1 | {9N.4E.1,9N.4E.10,9N.4E.11,9N.4E.2,9N.4E.8,9N.4E.9,9N.5E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1994-04-18 | J. NELSON                  | BLM PLAT & FIELD NOTES                                   | S1,S2,S10,S9 9N,4E   39 SHEETS                                                                                                                            | 
  14937 | Unrecorded Map |  100 |  155 |      1 | {10N.3E.36,10N.4E.31,10N.4E.32,10N.4E.33,10N.4E.34,10N.4E.35,10N.4E.36,9N.3E.1,9N.3E.12,9N.3E.13,9N.4E.1,9N.4E.10,9N.4E.11,9N.4E.12,9N.4E.17,9N.4E.18,9N.4E.2,9N.4E.3,9N.4E.4,9N.4E.5,9N.4E.6,9N.4E.7,9N.4E.8,9N.4E.9}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 2006-11-07 | S. LAMBETH                 | BLM PLAT & FIELD NOTES                                   | S2,S3,S5,S6,S7 9N,4E   68 SHEETS                                                                                                                          | 
  14940 | Unrecorded Map |  100 |  158 |      1 | {10N.5E.36,10N.6E.31,10N.6E.32,10N.6E.33,10N.6E.34,10N.6E.35,10N.6E.36,10N.7E.31,8N.5E.1,8N.6E.1,8N.6E.2,8N.6E.3,8N.6E.4,8N.6E.5,8N.6E.6,8N.7E.6,9N.5E.1,9N.5E.12,9N.5E.13,9N.5E.24,9N.5E.25,9N.5E.36,9N.6E.1,9N.6E.10,9N.6E.11,9N.6E.12,9N.6E.13,9N.6E.14,9N.6E.15,9N.6E.16,9N.6E.17,9N.6E.18,9N.6E.19,9N.6E.2,9N.6E.20,9N.6E.21,9N.6E.22,9N.6E.23,9N.6E.24,9N.6E.25,9N.6E.26,9N.6E.27,9N.6E.28,9N.6E.29,9N.6E.3,9N.6E.30,9N.6E.31,9N.6E.32,9N.6E.33,9N.6E.34,9N.6E.35,9N.6E.36,9N.6E.4,9N.6E.5,9N.6E.6,9N.6E.7,9N.6E.8,9N.6E.9,9N.7E.18,9N.7E.19,9N.7E.30,9N.7E.31,9N.7E.6,9N.7E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1883-12-01 | C. HOLCOMB                 | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 9N,6E              | 
  14941 | Unrecorded Map |  100 |  159 |      1 | {10N.6E.36,10N.7E.31,10N.7E.32,10N.7E.33,10N.7E.34,10N.7E.35,10N.7E.36,8N.6E.1,8N.7E.1,8N.7E.2,8N.7E.3,8N.7E.4,8N.7E.5,8N.7E.6,9N.6E.1,9N.6E.12,9N.6E.13,9N.6E.24,9N.6E.25,9N.6E.36,9N.7E.1,9N.7E.10,9N.7E.11,9N.7E.12,9N.7E.13,9N.7E.14,9N.7E.15,9N.7E.16,9N.7E.17,9N.7E.18,9N.7E.19,9N.7E.2,9N.7E.20,9N.7E.21,9N.7E.22,9N.7E.23,9N.7E.24,9N.7E.25,9N.7E.26,9N.7E.27,9N.7E.28,9N.7E.29,9N.7E.3,9N.7E.30,9N.7E.31,9N.7E.32,9N.7E.33,9N.7E.34,9N.7E.35,9N.7E.36,9N.7E.4,9N.7E.5,9N.7E.6,9N.7E.7,9N.7E.8,9N.7E.9}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1883-12-01 | C. HOLCOMB                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 9N,7E   21 SHEETS  | 
  14946 | Unrecorded Map |  100 |  164 |      1 | {10N.1E.1,10N.1E.10,10N.1E.11,10N.1E.12,10N.1E.13,10N.1E.14,10N.1E.15,10N.1E.16,10N.1E.17,10N.1E.18,10N.1E.19,10N.1E.2,10N.1E.20,10N.1E.21,10N.1E.22,10N.1E.23,10N.1E.24,10N.1E.25,10N.1E.26,10N.1E.27,10N.1E.28,10N.1E.29,10N.1E.3,10N.1E.30,10N.1E.31,10N.1E.32,10N.1E.33,10N.1E.34,10N.1E.35,10N.1E.36,10N.1E.4,10N.1E.5,10N.1E.7,10N.1E.8,10N.1E.9,10N.2E.18,10N.2E.19,10N.2E.30,10N.2E.31,10N.2E.6,10N.2E.7,11N.1E.32,11N.1E.33,11N.1E.34,11N.1E.35,11N.1E.36,11N.2E.31,9N.1E.1,9N.1E.2,9N.1E.3,9N.1E.4,9N.1E.5,9N.1E.6,9N.1W.1,9N.2E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1879-03-25 | M. REILLY                  | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 10N,1E   11 SHEETS    | 
  14950 | Unrecorded Map |  100 |  168 |      1 | {10N.1E.1,10N.1E.12,10N.1E.13,10N.1E.24,10N.1E.25,10N.1E.36,10N.2E.1,10N.2E.10,10N.2E.11,10N.2E.12,10N.2E.13,10N.2E.14,10N.2E.15,10N.2E.16,10N.2E.17,10N.2E.18,10N.2E.19,10N.2E.2,10N.2E.20,10N.2E.21,10N.2E.22,10N.2E.23,10N.2E.24,10N.2E.25,10N.2E.26,10N.2E.27,10N.2E.28,10N.2E.29,10N.2E.3,10N.2E.30,10N.2E.31,10N.2E.32,10N.2E.33,10N.2E.34,10N.2E.35,10N.2E.36,10N.2E.4,10N.2E.5,10N.2E.6,10N.2E.7,10N.2E.8,10N.2E.9,10N.3E.18,10N.3E.19,10N.3E.30,10N.3E.31,10N.3E.6,10N.3E.7,11N.1E.36,11N.2E.31,11N.2E.32,11N.2E.33,11N.2E.34,11N.2E.35,11N.2E.36,11N.3E.31,9N.1E.1,9N.2E.1,9N.2E.2,9N.2E.3,9N.2E.4,9N.2E.5,9N.2E.6,9N.3E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1882-12-30 | J. HAUGHN                  | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 10N,2E             | 
  14956 | Unrecorded Map |  100 |  174 |      1 | {10N.2E.1,10N.2E.12,10N.2E.13,10N.2E.24,10N.2E.25,10N.2E.36,10N.3E.1,10N.3E.10,10N.3E.11,10N.3E.12,10N.3E.13,10N.3E.14,10N.3E.15,10N.3E.16,10N.3E.17,10N.3E.18,10N.3E.19,10N.3E.2,10N.3E.20,10N.3E.21,10N.3E.22,10N.3E.23,10N.3E.24,10N.3E.25,10N.3E.26,10N.3E.27,10N.3E.28,10N.3E.29,10N.3E.3,10N.3E.30,10N.3E.31,10N.3E.32,10N.3E.33,10N.3E.34,10N.3E.35,10N.3E.36,10N.3E.4,10N.3E.5,10N.3E.6,10N.3E.7,10N.3E.8,10N.3E.9,10N.4E.18,10N.4E.19,10N.4E.30,10N.4E.31,10N.4E.6,10N.4E.7,11N.2E.36,11N.3E.31,11N.3E.32,11N.3E.33,11N.3E.34,11N.3E.35,11N.3E.36,11N.4E.31,9N.2E.1,9N.3E.1,9N.3E.2,9N.3E.3,9N.3E.4,9N.3E.5,9N.3E.6,9N.4E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1882-12-30 | J. HAUGHN                  | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 10N,3E             | 
  14964 | Unrecorded Map |  100 |  182 |      1 | {10N.3E.10,10N.3E.2,10N.3E.3,10N.3E.4,10N.3E.5,10N.3E.9,11N.3E.32,11N.3E.33,11N.3E.34,11N.3E.35}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 1994-08-10 | F. COOK                    | BLM PLAT & FIELD NOTES                                   | S3 10N,3E   32 SHEETS                                                                                                                                     | 
  14965 | Unrecorded Map |  100 |  183 |      1 | {10N.2E.1,10N.2E.12,10N.2E.13,10N.2E.2,10N.2E.3,10N.3E.10,10N.3E.15,10N.3E.16,10N.3E.17,10N.3E.18,10N.3E.20,10N.3E.21,10N.3E.22,10N.3E.3,10N.3E.4,10N.3E.5,10N.3E.6,10N.3E.7,10N.3E.8,10N.3E.9,11N.2E.34,11N.2E.35,11N.2E.36,11N.3E.31,11N.3E.32,11N.3E.33,11N.3E.34}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 2006-09-14 | F. COOK                    | BLM PLAT & FIELD NOTES                                   | S4,S5,S6,S7,S8,S9,S15 10N,3E   70 SHEETS                                                                                                                  | 
  14966 | Unrecorded Map |  100 |  184 |      1 | {10N.3E.10,10N.3E.11,10N.3E.12,10N.3E.13,10N.3E.14,10N.3E.15,10N.3E.16,10N.3E.17,10N.3E.20,10N.3E.21,10N.3E.22,10N.3E.23,10N.3E.24,10N.3E.8,10N.3E.9,10N.4E.18,10N.4E.19,10N.4E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 2006-09-14 | S. LAMBETH                 | BLM PLAT & FIELD NOTES                                   | S13,S14,S15,S16 10N,3E   36 SHEETS                                                                                                                        | 
  14967 | Unrecorded Map |  100 |  185 |      1 | {10N.3E.23,10N.3E.24,10N.3E.25,10N.3E.26,10N.3E.27,10N.3E.28,10N.3E.33,10N.3E.34,10N.3E.35,10N.3E.36,10N.4E.30,10N.4E.31,9N.3E.1,9N.3E.2,9N.4E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 2005-09-20 | S. LAMBETH                 | BLM PLAT & FIELD NOTES                                   | S36 10N,3E   18 SHEETS                                                                                                                                    | 
  14968 | Unrecorded Map |  100 |  186 |      1 | {10N.3E.3,10N.3E.4,11N.3E.33,11N.3E.34}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 2012-02-16 | UNKNOWN                    | BLM PLAT & FIELD NOTES                                   | S3 10N,3E + S33 & S34 11N,3E   101 SHEETS                                                                                                                 | 
  14969 | Unrecorded Map |  100 |  187 |      1 | {10N.3E.3,10N.3E.4,10N.3E.5,11N.3E.32,11N.3E.33}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 2012-02-16 | UNKNOWN                    | BLM PLAT & FIELD NOTES                                   | S4 10N,3E + S32 & S33 11N,3E   70 SHEETS                                                                                                                  | 
  14970 | Unrecorded Map |  100 |  188 |      1 | {10N.3E.4,10N.3E.5,10N.3E.6,11N.3E.31,11N.3E.32}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 2012-02-16 | UNKNOWN                    | BLM PLAT & FIELD NOTES                                   | S5 10N,3E + S31 & S32 11N,3E   70 SHEETS                                                                                                                  | 
  14977 | Unrecorded Map |  100 |  195 |      1 | {10N.3E.1,10N.3E.12,10N.4E.1,10N.4E.10,10N.4E.11,10N.4E.12,10N.4E.13,10N.4E.14,10N.4E.15,10N.4E.16,10N.4E.17,10N.4E.18,10N.4E.19,10N.4E.2,10N.4E.20,10N.4E.21,10N.4E.22,10N.4E.23,10N.4E.24,10N.4E.25,10N.4E.26,10N.4E.27,10N.4E.28,10N.4E.29,10N.4E.3,10N.4E.32,10N.4E.33,10N.4E.34,10N.4E.35,10N.4E.36,10N.4E.4,10N.4E.5,10N.4E.6,10N.4E.7,10N.4E.8,10N.4E.9,10N.5E.18,10N.5E.19,10N.5E.30,10N.5E.31,10N.5E.6,10N.5E.7,11N.4E.33,11N.4E.34,11N.4E.35,11N.4E.36,11N.5E.31,9N.4E.1,9N.5E.6}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1998-06-02 | F. WHEELER                 | BLM PLAT & FIELD NOTES                                   | S24 & S25 10N,4E   41 SHEETS                                                                                                                              | 
